,open,high,low,close,volume,money
2014-08-26,2.64,2.66,2.63,2.64,73396722.0,193874320.0
2014-08-27,2.64,2.64,2.63,2.64,63935011.0,168422304.0
2014-08-28,2.63,2.64,2.6,2.6,80782886.0,211233344.0
2014-08-29,2.61,2.63,2.6,2.62,91075235.0,238208816.0
2014-09-01,2.63,2.65,2.61,2.63,86732326.0,228556176.0
2014-09-02,2.63,2.67,2.63,2.66,124197775.0,328181472.0
2014-09-03,2.66,2.69,2.66,2.69,117628698.0,315275872.0
2014-09-04,2.69,2.72,2.68,2.72,106957129.0,289018080.0
2014-09-05,2.72,2.73,2.71,2.73,129095694.0,351623840.0
2014-09-09,2.73,2.73,2.71,2.72,65944518.0,179309280.0
2014-09-10,2.71,2.71,2.69,2.69,87884042.0,236905184.0
2014-09-11,2.69,2.72,2.68,2.69,79485437.0,214417952.0
2014-09-12,2.69,2.7,2.68,2.7,38655266.0,103973856.0
2014-09-15,2.69,2.7,2.67,2.7,89603715.0,240406688.0
2014-09-16,2.69,2.71,2.68,2.69,158077003.0,425997792.0
2014-09-17,2.69,2.7,2.68,2.69,98046517.0,264173456.0
2014-09-18,2.69,2.7,2.67,2.69,102326388.0,275070784.0
2014-09-19,2.69,2.69,2.67,2.69,113397309.0,304118464.0
2014-09-22,2.68,2.69,2.63,2.64,96580440.0,256638960.0
2014-09-23,2.64,2.65,2.63,2.65,71537583.0,189055792.0
2014-09-24,2.63,2.69,2.63,2.68,158132166.0,420615712.0
2014-09-25,2.69,2.69,2.67,2.69,131785053.0,354272480.0
2014-09-26,2.68,2.69,2.66,2.69,64690790.0,173530768.0
2014-09-29,2.68,2.69,2.66,2.66,108813688.0,290542528.0
2014-09-30,2.66,2.67,2.66,2.67,89136433.0,237434912.0
2014-10-08,2.67,2.68,2.64,2.67,136816465.0,363668608.0
2014-10-09,2.66,2.67,2.66,2.66,92683124.0,246661728.0
2014-10-10,2.66,2.66,2.65,2.66,88333482.0,234263424.0
2014-10-13,2.65,2.66,2.63,2.63,109457472.0,288764160.0
2014-10-14,2.63,2.65,2.63,2.63,67942531.0,179211296.0
2014-10-15,2.63,2.66,2.63,2.65,67441030.0,178181968.0
2014-10-16,2.64,2.67,2.63,2.66,118320753.0,314377920.0
2014-10-17,2.66,2.66,2.65,2.66,91002939.0,241808896.0
2014-10-20,2.66,2.67,2.65,2.66,74545008.0,198398592.0
2014-10-21,2.66,2.66,2.64,2.66,86730228.0,230232816.0
2014-10-22,2.65,2.67,2.64,2.65,125068245.0,332294528.0
2014-10-23,2.65,2.67,2.64,2.66,123070211.0,327702752.0
2014-10-24,2.66,2.67,2.65,2.66,100475177.0,267439456.0
2014-10-27,2.66,2.66,2.63,2.64,88387799.0,233997088.0
2014-10-28,2.64,2.67,2.64,2.66,75983249.0,201800032.0
2014-10-29,2.66,2.69,2.66,2.68,148927677.0,398318400.0
2014-10-30,2.69,2.72,2.68,2.72,196814408.0,532277888.0
2014-10-31,2.72,2.79,2.72,2.77,286694412.0,790282560.0
2014-11-03,2.78,2.78,2.74,2.75,167869014.0,462810304.0
2014-11-04,2.75,2.77,2.73,2.76,138863711.0,381144416.0
2014-11-05,2.76,2.76,2.7,2.71,260842072.0,709205824.0
2014-11-06,2.71,2.72,2.68,2.7,155055812.0,418473856.0
